video,codec,target_bitrate,target_bitrate_kbps,actual_bitrate_kbps,width,height,resolution,fps,duration_s,original_size_kb,encoded_size_kb,compression_ratio,bitrate_savings_pct,encoding_time_s,psnr_mean,psnr_std,ssim_mean,ssim_std,motion_complexity,frames_compared
BigBuckBunny_360p,MPEG4,500k,500,715.199,640,360,640x360,30.0,10.0,967.79,873.05,1.109,9.79,0.223,30.231,1.306,0.81821,0.03945,0.2693,50
BigBuckBunny_360p,MPEG4,1M,1000,1197.335,640,360,640x360,30.0,10.0,967.79,1461.59,0.662,-51.02,0.235,32.017,1.298,0.87822,0.02546,0.2693,50
BigBuckBunny_360p,MPEG4,2M,2000,2170.403,640,360,640x360,30.0,10.0,967.79,2649.42,0.365,-173.76,0.234,34.32,1.297,0.9269,0.01475,0.2693,50
BigBuckBunny_360p,MPEG4,4M,4000,4126.784,640,360,640x360,30.0,10.0,967.79,5037.58,0.192,-420.52,0.254,37.561,0.893,0.96369,0.00555,0.2693,50
BigBuckBunny_360p,MPEG4,8M,8000,6276.968,640,360,640x360,30.0,10.0,967.79,7662.31,0.126,-691.73,0.266,39.968,0.1,0.97868,0.00035,0.2693,50
BigBuckBunny_360p,H264,500k,500,492.304,640,360,640x360,30.0,10.0,967.79,600.96,1.61,37.9,1.153,35.027,1.326,0.94088,0.0195,0.2693,50
BigBuckBunny_360p,H264,1M,1000,969.572,640,360,640x360,30.0,10.0,967.79,1183.56,0.818,-22.3,1.335,38.546,1.218,0.97429,0.00636,0.2693,50
BigBuckBunny_360p,H264,2M,2000,1954.347,640,360,640x360,30.0,10.0,967.79,2385.68,0.406,-146.51,1.598,41.977,1.047,0.9881,0.00228,0.2693,50
BigBuckBunny_360p,H264,4M,4000,3944.747,640,360,640x360,30.0,10.0,967.79,4815.37,0.201,-397.56,1.996,45.218,0.93,0.99407,0.00107,0.2693,50
BigBuckBunny_360p,H264,8M,8000,7957.594,640,360,640x360,30.0,10.0,967.79,9713.86,0.1,-903.72,2.657,49.09,1.139,0.99738,0.00068,0.2693,50
BigBuckBunny_360p,H265,500k,500,484.156,640,360,640x360,30.0,10.0,967.79,591.01,1.638,38.93,1.941,35.636,1.123,0.94841,0.01438,0.2693,50
BigBuckBunny_360p,H265,1M,1000,970.171,640,360,640x360,30.0,10.0,967.79,1184.29,0.817,-22.37,2.313,38.537,1.136,0.97411,0.00581,0.2693,50
BigBuckBunny_360p,H265,2M,2000,1976.506,640,360,640x360,30.0,10.0,967.79,2412.73,0.401,-149.3,3.3,41.71,1.478,0.98693,0.0035,0.2693,50
BigBuckBunny_360p,H265,4M,4000,3987.727,640,360,640x360,30.0,10.0,967.79,4867.83,0.199,-402.98,7.26,45.494,1.668,0.99392,0.00209,0.2693,50
BigBuckBunny_360p,H265,8M,8000,7995.888,640,360,640x360,30.0,10.0,967.79,9760.61,0.099,-908.55,12.626,49.75,2.297,0.99743,0.00122,0.2693,50
BigBuckBunny_720p,MPEG4,500k,500,1106.761,1280,720,1280x720,30.0,10.0,1931.77,1351.03,1.43,30.06,0.398,27.283,1.357,0.65458,0.05581,0.4915,50
BigBuckBunny_720p,MPEG4,1M,1000,1207.072,1280,720,1280x720,30.0,10.0,1931.77,1473.48,1.311,23.72,0.425,27.701,1.304,0.68177,0.05334,0.4915,50
BigBuckBunny_720p,MPEG4,2M,2000,2196.344,1280,720,1280x720,30.0,10.0,1931.77,2681.08,0.721,-38.79,0.512,30.223,1.018,0.81305,0.02909,0.4915,50
BigBuckBunny_720p,MPEG4,4M,4000,4152.184,1280,720,1280x720,30.0,10.0,1931.77,5068.58,0.381,-162.38,0.53,32.609,0.695,0.88937,0.0131,0.4915,50
BigBuckBunny_720p,MPEG4,8M,8000,8115.36,1280,720,1280x720,30.0,10.0,1931.77,9906.45,0.195,-412.82,0.592,35.38,0.598,0.93827,0.00611,0.4915,50
BigBuckBunny_720p,H264,500k,500,504.843,1280,720,1280x720,30.0,10.0,1931.77,616.26,3.135,68.1,4.282,29.981,0.87,0.81288,0.03524,0.4915,50
BigBuckBunny_720p,H264,1M,1000,999.179,1280,720,1280x720,30.0,10.0,1931.77,1219.7,1.584,36.86,4.35,33.559,1.289,0.91658,0.01977,0.4915,50
